-0.06,1,-0.46,0.62,0.14,-0.26,-0.48,-1,-1,-0.54,0.12,0.06,1,0.8,-0.2,0.96,8
-1,0.78,-0.46,1,-0.16,0.5,-0.42,-0.1,-0.7,-0.7,-0.26,-1,0.38,-0.96,1,-0.88,2
-1,0.14,-0.38,0.36,0.44,0.8,1,1,0.52,0.5,0.02,-0.44,-0.5,-0.68,-1,,1
-1,1,-0.86,0.84,-0.9,0.36,-0.62,-0.1,0.72,-0.32,1,-0.1,0.48,-0.54,0.34,-1,4
-1,0.34,-0.02,0.66,1,1,0.62,0.6,0.2,0.2,-0.2,-0.2,-0.34,-0.6,-0.06,-1,1
1,1,0.76,0.98,-0.02,0.48,-0.66,-0.06,-1,-0.68,-0.26,-1,0.46,-0.68,-0.6,-0.6,6
-1,1,-0.94,0.44,-0.48,-0.3,0.7,-0.3,1,0.42,0.46,0.94,0.3,-0.02,0.32,-1,4
-1,-0.22,-0.96,0.24,-0.78,-0.9,0.26,-1,1,-0.14,0.78,0.98,-0.28,1,-1,0.14,0
-0.74,0.78,-0.76,0.44,-0.24,0.12,-1,-0.92,-0.66,-1,0.22,-0.36,0.88,1,1,,5
0.14,1,-0.56,0.44,-1,-0.38,-0.5,-1,0.5,-0.74,1,0.5,0.74,-0.48,0.7,,0
0.48,0.74,-0.38,1,-1,0.38,0.24,0.28,1,0.58,1,-0.24,0.68,-1,-0.64,-0.98,9
-0.04,0.92,0.24,0.3,0.76,-0.46,-0.58,-1,-0.58,-0.34,0.58,0.34,1,1,-1,0.7,8
1,1,0.44,0.98,-0.28,0.56,-0.32,0.08,0.58,-0.06,0.28,-0.74,-0.62,-1,-1,-0.96,5
0.82,0.48,0.08,1,-1,0.74,-0.54,0.18,0.62,0.34,1,-0.22,0.58,-0.92,-0.58,-1,9
-1,0.7,-0.24,1,0.62,0.76,0.74,0.68,-0.76,0.16,-1,0.06,-0.56,1,-0.52,,7
-0.3,0.52,0.14,1,1,0.84,0.36,0.32,0.62,-0.24,0.64,-0.82,-0.36,-1,-1,-0.66,3
0.68,0.32,1,0.5,0.5,0.02,0.02,1,-0.16,0.94,-0.74,-0.02,-1,-1,-0.86,,3
0.98,0.6,0.26,1,-0.5,0.52,0.58,0.36,1,0.24,0.94,-0.54,0.08,-1,-1,-0.68,9
-0.52,0.32,-0.14,1,0.18,0.3,-0.32,-0.44,-1,-0.98,-0.68,-0.78,0.16,-1,1,-0.98,2
-1,0.46,-0.62,0.98,0.44,1,0.4,0.46,-0.36,-0.04,-0.9,-0.64,-0.08,-1,1,-1,2
-0.76,0.54,-0.6,0.24,0.56,-0.2,-1,-0.98,-0.66,-1,0.28,-0.54,0.96,1,1,,5
-1,-0.08,-0.02,0.28,0.56,0.74,1,1,0.82,0.5,0.7,-0.02,0.5,-0.52,0.78,-1,1
-0.8,0.72,-0.32,0.32,0.36,-0.32,-0.32,-1,-0.92,-0.48,-1,0.38,-0.32,0.9,1,1,5
0.46,0.24,0.06,1,-1,0.44,0.64,-0.22,1,-1,-0.7,-0.72,0.04,0.14,0.8,0.88,8
0.08,1,-0.32,0.5,-0.88,-0.14,-1,-0.78,0.4,-1,1,-0.44,-0.12,-0.08,-0.28,-0.58,6
-0.78,1,-1,0.38,-0.7,-0.14,0.74,-0.06,1,0.3,0.48,0.34,0.42,-0.34,0.32,-1,4
-0.28,0.84,-0.86,0.66,-1,-0.26,-0.48,-1,0.54,-0.88,1,-0.08,0.68,0.78,-0.28,1,0
-0.08,1,-0.8,0.66,-0.32,0.28,1,0.54,0.42,0.64,-0.02,0.08,-0.56,-0.46,-1,-1,4
0.22,0.18,0.16,1,-1,0.68,-0.12,-0.16,0.6,-1,-0.84,-0.9,-0.34,-0.12,1,0.4,8
